Wang ::: Ze	-	CHINESE
Liu ::: Li	-	CHINESE
Cheng ::: Liming	-	CHINESE
Miao ::: Xiao-Ping	-	CHINESE
Bond ::: Jason E.	M	ENGLISH
Matsuura ::: Tohru	M	JAPANESE
Riegel ::: Joseph B.	M	GERMAN
Racow ::: Kimberly	F	HISPANIC-ENGLISH
Funakoshi-Tago ::: Megumi	F	JAPANESE
Tago ::: Kenji	M	JAPANESE
Marshall ::: David C.	M	ENGLISH
Agüera ::: Zaida	F	UNKNOWN
Chen ::: Jue	-	CHINESE
Yang ::: Wei	-	CHINESE
Jackson ::: Eric W.	M	ENGLISH
Lyu ::: Shaw-Ruey	-	CHINESE
Ko ::: Gladys Yi-Ping	F	CHINESE
Prinja ::: Shankar	M	INDIAN
Tufano ::: James J.	M	ENGLISH-ITALIAN
Agrawal ::: Devendra K.	M	INDIAN
Kumar ::: Manish	M	INDIAN
Kandemir ::: Güven	M	TURKISH-KOREAN
Mühlethaler-Mottet ::: Annick	F	FRENCH
Johnson ::: Allen	M	ENGLISH
Kato ::: Nobuyuki	M	JAPANESE
Koo ::: Hyeon-Sook	F	KOREAN
Fazal ::: Fabeha	-	ARAB
Cauda ::: Franco	M	ITALIAN
Sarnthein ::: Johannes	M	GERMAN
Yu ::: Shuxun	-	CHINESE
Fletcher ::: Erica L.	F	ENGLISH
Ballarini ::: Annalisa	F	ITALIAN
Salmon ::: Isabelle	F	FRENCH
Ramon ::: M. M.	-	FRENCH
Terao ::: Yutaka	M	JAPANESE
Peng ::: Tao-Chun	-	CHINESE
Derocles ::: Stéphane A. P.	-	FRENCH
Choung ::: Ho-Kyung	-	KOREAN
Kim ::: Ji Eun	F	KOREAN
Wong ::: Janet Yuen-Ha	F	CHINESE
Raboisson ::: Didier	M	FRENCH
Tuil ::: David	M	FRENCH
Daegelen ::: Dominique	-	FRENCH
Crawford ::: Nigel P. S.	M	ENGLISH
Maniscalco ::: John M.	M	ENGLISH
Christian ::: Sherri L.	F	ENGLISH
Hirasawa ::: Kensuke	M	JAPANESE
Darmstadt ::: Gary L.	M	ENGLISH
Salvioli ::: Stefano	M	ITALIAN
Brázdil ::: Milan	M	SLAV
Condorelli ::: Gerolama	-	ITALIAN
Mehta ::: Aashna	F	INDIAN
Ma ::: Dzwokai	-	CHINESE
Veenstra ::: Alexander A.	M	DUTCH
Kauwe ::: John S. K.	M	DUTCH
Yang ::: Mingjie	-	CHINESE
Tan ::: Jun	-	CHINESE
Rots ::: Veerle	F	DUTCH
Hagmann-von Arx ::: Priska	F	GERMAN
Dean ::: Angela J.	F	ENGLISH
Prell ::: Tino	M	GERMAN
Miki ::: Takeshi	M	JAPANESE
Lim ::: Wai H.	-	CHINESE
Liu ::: Qiao-Quan	-	CHINESE
Garred ::: Peter	M	NORDIC
Li ::: Zhiguo	M	CHINESE
Stritzker ::: Jochen	M	GERMAN
Szalay ::: Aladar A.	M	HUNGARIAN
Vlasova ::: Anastasia N.	F	SLAV-GREEK
Saif ::: Linda J.	F	ENGLISH
Huber ::: Susanne	F	GERMAN
Weinstein ::: Stephanie J.	F	ENGLISH
Jeoung ::: Jin Wook	M	KOREAN
Riddell ::: Kim	-	ENGLISH
Scholes ::: Delia	F	ENGLISH
Sokurenko ::: Evgeni V.	M	SLAV
Kim ::: Daehyun	M	KOREAN
Huttenlocher ::: Anna	F	GERMAN
Wu ::: Chia-Chao	-	CHINESE
Harrison ::: Paul M.	M	ENGLISH
Reiner-Benaim ::: Anat	F	ISRAELI
Matzek ::: Virginia	F	GERMAN-ENGLISH
Mitchell ::: Nicola	F	ENGLISH
Liao ::: Yuncheng	M	CHINESE
Tomasson ::: Michael H.	M	NORDIC-GREEK
Ishihara ::: Masae Iwamoto	F	JAPANESE
Wang ::: Q. Tian	-	CHINESE
George ::: Manju	F	INDIAN
Naramura ::: Mayumi	F	JAPANESE
Band ::: Hamid	M	ENGLISH-ARAB
Hallschmid ::: Manfred	M	GERMAN
Davis ::: Jennifer C.	F	ENGLISH
Li ::: Cai-xia	F	CHINESE
Hu ::: Lan	-	CHINESE
Granada ::: Adrián E.	M	HISPANIC
López-López ::: Pascual	M	HISPANIC
Standley ::: Claire J.	F	ENGLISH
Sawant ::: Sharada	F	INDIAN
Jeon ::: Chang-Jin	M	KOREAN
Winkler ::: Christoph	M	GERMAN
Dai ::: Menghong	-	CHINESE
Wang ::: Yulian	-	CHINESE
Yuan ::: Zonghui	-	CHINESE
Zhou ::: Xiaodong	M	CHINESE
Wang ::: Pengfei	-	CHINESE
Nehrke ::: Keith	M	ENGLISH
Nayak ::: Tapan K.	M	INDIAN
Brechbiel ::: Martin W.	M	GERMAN
González-Candelas ::: Fernando	M	HISPANIC
El Albani ::: Abderrazak	M	ARAB
Yang ::: Fuquan	M	CHINESE
Zhang ::: Chen-Yu	-	CHINESE
Zhang ::: Yujing	-	CHINESE
Partinen ::: Markku	M	NORDIC
Wu ::: Pao-Chu	M	CHINESE
Teeuw ::: Wijnand J.	M	DUTCH
Watt ::: Caroline	F	ENGLISH
Gatenby ::: Robert	M	ENGLISH
Khan ::: Mohd Sajid	M	ARAB
Wang ::: Chenhui	-	CHINESE
Hsu ::: Chiu-Hsieh	-	CHINESE
Voolstra ::: Olaf	M	DUTCH
Cerullo ::: Vincenzo	M	ITALIAN
Hemminki ::: Akseli	M	NORDIC
Hanrahan ::: Jane R.	F	ENGLISH
Riiser ::: Kirsti	F	NORDIC
Devarajooh ::: Cassidy	-	INDIAN-ENGLISH
Lee ::: Youngsook	F	KOREAN
Tuominen ::: Pipsa P. A.	F	NORDIC
Liu ::: Jiming	M	CHINESE
Riper ::: Heleen	F	DUTCH
‘t Hart ::: Bernard Marius	M	ENGLISH-FRENCH
Dupree ::: Paul	M	ENGLISH
Fukudo ::: Shin	-	JAPANESE
John ::: Kunda	-	INDIAN
Yokoyama ::: Utako	F	JAPANESE
Ishikawa ::: Yoshihiro	M	JAPANESE
